split,rep,model_name,metric,value
validation,19,full_formatting,accuracy,0.6351768092105263
validation,19,signal_interactions,log_loss,0.6362949333331591
validation,19,signal_interactions,brier_score,0.22246642092846
validation,19,signal_interactions,accuracy,0.6421669407894737
validation,20,baseline,log_loss,0.6462544668353661
validation,20,baseline,brier_score,0.22722599645950978
validation,20,baseline,accuracy,0.6279469796620459
validation,20,full_formatting,log_loss,0.639515453629712
validation,20,full_formatting,brier_score,0.22357050430456002
validation,20,full_formatting,accuracy,0.6378629970656683
validation,20,signal_interactions,log_loss,0.6382138245464868
validation,20,signal_interactions,brier_score,0.22310473022519153
validation,20,signal_interactions,accuracy,0.6422139026611353
validation,21,baseline,log_loss,0.6465940937930337
validation,21,baseline,brier_score,0.22735905129230471
validation,21,baseline,accuracy,0.6257618854124339
validation,21,full_formatting,log_loss,0.637388852641634
validation,21,full_formatting,brier_score,0.22301683061844202
validation,21,full_formatting,accuracy,0.6377488825680617
validation,21,signal_interactions,log_loss,0.6370813291665175
validation,21,signal_interactions,brier_score,0.22262105012866154
validation,21,signal_interactions,accuracy,0.6428281186509549
validation,22,baseline,log_loss,0.6467302647749731
validation,22,baseline,brier_score,0.22743762353784425
validation,22,baseline,accuracy,0.6242522559059109
validation,22,full_formatting,log_loss,0.6401027774580283
validation,22,full_formatting,brier_score,0.22413403914558283
validation,22,full_formatting,accuracy,0.6342897698469026
validation,22,signal_interactions,log_loss,0.6394683232925796
validation,22,signal_interactions,brier_score,0.22374429595624493
validation,22,signal_interactions,accuracy,0.6361147723816283
validation,23,baseline,log_loss,0.6451324562437614
validation,23,baseline,brier_score,0.22674895106960186
validation,23,baseline,accuracy,0.6265880678930785
validation,23,full_formatting,log_loss,0.6355316480002301
validation,23,full_formatting,brier_score,0.22213533774995053
validation,23,full_formatting,accuracy,0.6368533387539385
validation,23,signal_interactions,log_loss,0.6370375324606738
validation,23,signal_interactions,brier_score,0.22272932665595677
validation,23,signal_interactions,accuracy,0.6371582477894094
validation,24,baseline,log_loss,0.6421746888947417
validation,24,baseline,brier_score,0.22546500573598952
validation,24,baseline,accuracy,0.6312099969521487
validation,24,full_formatting,log_loss,0.6340327396454972
validation,24,full_formatting,brier_score,0.22144066653213268
validation,24,full_formatting,accuracy,0.6419790714213146
validation,24,signal_interactions,log_loss,0.6341383174324898
validation,24,signal_interactions,brier_score,0.22164131479885837
validation,24,signal_interactions,accuracy,0.6461444681499543
validation,25,baseline,log_loss,0.647272503455243
validation,25,baseline,brier_score,0.22772513118267074
